name,seed,test_accuracy,deployed_accuracy,deployed_accuracy_flipped,intervention
gender_s0_top_intervention,0,0.1333333402872085,0.3491666913032532,0.6508333086967468,top
gender_s0_random_intervention,0,0.1829166710376739,0.3933333456516266,0.6066666841506958,random
gender_s0_test_only_intervention,0,0.0691666677594184,0.5925000309944153,0.4074999988079071,test_only
gender_s1_top_intervention,1,0.1320833414793014,0.4954167008399963,0.5045833587646484,top
gender_s1_random_intervention,1,0.5579167008399963,0.4645833671092987,0.5354167222976685,random
gender_s1_test_only_intervention,1,0.0379166677594184,0.6191666722297668,0.3808333575725555,test_only
gender_s2_top_intervention,2,0.2145833522081375,0.418333351612091,0.5816666483879089,top
gender_s2_random_intervention,2,0.0816666707396507,0.3804166913032532,0.6195833086967468,random
gender_s2_test_only_intervention,2,0.1075000092387199,0.6570833325386047,0.3429166972637176,test_only
gender_s3_top_intervention,3,0.1829166710376739,0.4054166972637177,0.5945833325386047,top
gender_s3_test_only_intervention,3,0.0570833347737789,0.5858333706855774,0.4141666889190674,test_only
gender_s3_random_intervention,3,0.90583336353302,0.4887499809265136,0.5112500190734863,random
gender_s4_top_intervention,4,0.29666668176651,0.4370833337306976,0.5629166960716248,top
gender_s4_test_only_intervention,4,0.0816666707396507,0.6304166913032532,0.3695833384990692,test_only
gender_s4_random_intervention,4,0.96875,0.597083330154419,0.402916669845581,random
gender_s0,0,0.0691666677594184,0.0691666677594184,0.930833339691162,base
gender_s1,1,0.0379166677594184,0.0379166677594184,0.962083339691162,base
gender_s2,2,0.1075000092387199,0.1075000092387199,0.8925000429153442,base
gender_s3,3,0.0570833347737789,0.0570833347737789,0.9429166913032532,base
gender_s4,4,0.0816666707396507,0.0816666707396507,0.9183333516120912,base
gender_s0_intervention,0,0.981249988079071,0.659166693687439,0.3408333361148834,interpreted
gender_s1_intervention,1,0.987500011920929,0.659583330154419,0.340416669845581,interpreted
gender_s2_intervention,2,0.981249988079071,0.6345833539962769,0.3654166758060455,interpreted
gender_s3_intervention,3,0.96833336353302,0.6033333539962769,0.3966666758060455,interpreted
gender_s4_intervention,4,0.9554166793823242,0.627916693687439,0.3720833361148834,interpreted
